,INSTITUTIONCODE,REPORTINGDATE,DESCRIPTIONNO,PARTICULARS,AMOUNT
16920,M025,2024-06-30,11,    (c) Private Securities,0.0
16921,M569,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
16922,M883,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
16923,M915,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
16924,M418,2024-06-30,27,    (a) Receivables,0.0
16925,ME90,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
16926,MF30,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),5330078.0
16927,ME90,2024-06-30,45,           (iii) Other Borrowings,0.0
16928,ME85,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),2694930.41
16929,ME85,2024-06-30,2,    (a) Cash in Hand,0.0
16930,ME85,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),2694930.41
16931,ME85,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
16932,ME85,2024-06-30,5,(ii) Agent-Banking Balances,2694930.41
16933,ME85,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
16934,ME85,2024-06-30,7,    (d) MNOs Float  Balances,0.0
16935,ME85,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
16936,ME85,2024-06-30,9,    (a )Treasury Bills,0.0
16937,ME85,2024-06-30,10,    (b) Other Government Securities,0.0
16938,ME85,2024-06-30,12,    (d) Others,0.0
16939,ME85,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
16940,ME85,2024-06-30,15,    (a) Equity Investment,0.0
16941,ME85,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
16942,ME85,2024-06-30,17,4. LOANS - NET (sum a:d less e),19085034.48
16943,ME85,2024-06-30,18,     (a) Loans to Clients,19085034.48
16944,ME85,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
16945,ME85,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
16946,ME85,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",7854874.27
16947,ME85,2024-06-30,24,"    (a) Property, Plant and Equipment",11590000.0
16948,ME85,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),3735125.73
16949,ME85,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),1300000.0
16950,ME85,2024-06-30,27,    (a) Receivables,0.0
16951,ME85,2024-06-30,28,    (b) Prepaid Expenses,300000.0
16952,ME85,2024-06-30,29,    (c )Deffered Tax Assets,1000000.0
16953,ME85,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
16954,ME85,2024-06-30,34,8. LIABILITIES,0.0
16955,ME85,2024-06-30,35,9.  BORROWINGS (sum a:b),11797311.48
16956,ME85,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),11797311.48
16957,ME85,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
16958,ME85,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
16959,ME85,2024-06-30,41,          (v) Other Borrowings,11797311.48
16960,ME85,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
16961,ME85,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
16962,ME85,2024-06-30,45,           (iii) Other Borrowings,0.0
16963,ME85,2024-06-30,47,11.TAX PAYABLES,0.0
16964,ME85,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
16965,ME85,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
16966,ME85,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),11797311.48
16967,ME85,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),19137527.68
16968,ME85,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,20000000.0
16969,ME85,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
16970,ME85,2024-06-30,54,    (c) Capital Grants,0.0
16971,ME85,2024-06-30,55, (d) Donations,0.0
16972,ME85,2024-06-30,56,    (e) Share Premium,0.0
16973,ME85,2024-06-30,58,    (g) Retained Earnings,-700178.59
16974,ME85,2024-06-30,59,    (h) Profit/Loss,-162293.73
16975,ME85,2024-06-30,60,    (i) Other Reserves,0.0
16976,ME85,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),30934839.16
16977,M569,2024-06-30,4,(i) Non-Agent Banking  Balances,29565061.63
16978,M569,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
16979,M569,2024-06-30,7,    (d) MNOs Float  Balances,10817603.0
16980,M569,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
16981,M569,2024-06-30,9,    (a )Treasury Bills,0.0
16982,M569,2024-06-30,10,    (b) Other Government Securities,0.0
16983,M569,2024-06-30,11,    (c) Private Securities,0.0
16984,M569,2024-06-30,12,    (d) Others,0.0
16985,M569,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
16986,M569,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
16987,M569,2024-06-30,18,     (a) Loans to Clients,2409522301.32
16988,M569,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
16989,M569,2024-06-30,21,     (d) Accrued Interest on Loans ,340112203.0
16990,M569,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,1709484450.35
16991,M569,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",73486654.41
16992,M569,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),6811980.0
16993,M569,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),7865000.0
16994,M569,2024-06-30,28,    (b) Prepaid Expenses,1200000.0
16995,M569,2024-06-30,29,    (c )Deffered Tax Assets,0.0
16996,M569,2024-06-30,30,    (d )Intangible Assets,6665000.0
16997,M569,2024-06-30,31,    (e) Miscellaneous Assets,0.0
16998,M569,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
16999,M569,2024-06-30,33,7. TOTAL ASSETS ,1162028623.01
17000,M569,2024-06-30,34,8. LIABILITIES,0.0
17001,M569,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
17002,M569,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
17003,M569,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17004,M569,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17005,M569,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
17006,M569,2024-06-30,41,          (v) Other Borrowings,0.0
17007,M569,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
17008,M569,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17009,M569,2024-06-30,45,           (iii) Other Borrowings,0.0
17010,M569,2024-06-30,47,11.TAX PAYABLES,0.0
17011,M569,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
17012,M569,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),93310355.32
17013,M569,2024-06-30,54,    (c) Capital Grants,0.0
17014,M569,2024-06-30,55, (d) Donations,0.0
17015,M569,2024-06-30,56,    (e) Share Premium,0.0
17016,M569,2024-06-30,57,    (f) General Reserves,0.0
17017,M569,2024-06-30,58,    (g) Retained Earnings,0.0
17018,M569,2024-06-30,59,    (h) Profit/Loss,54677267.69
17019,M569,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),1162028623.01
17020,M569,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),40526914.63
17021,MF36,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
17022,MF36,2024-06-30,5,(ii) Agent-Banking Balances,0.0
17023,MF36,2024-06-30,7,    (d) MNOs Float  Balances,0.0
17024,MF36,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
17025,MF36,2024-06-30,9,    (a )Treasury Bills,0.0
17026,MF36,2024-06-30,10,    (b) Other Government Securities,0.0
17027,MF36,2024-06-30,11,    (c) Private Securities,0.0
17028,MF36,2024-06-30,12,    (d) Others,0.0
17029,MF36,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
17030,MF36,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),10225013.0
17031,MF36,2024-06-30,2,    (a) Cash in Hand,10225013.0
17032,MF36,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
17033,MF36,2024-06-30,15,    (a) Equity Investment,0.0
17034,MF36,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
17035,MF36,2024-06-30,18,     (a) Loans to Clients,11070096.0
17036,MF36,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
17037,MF36,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17038,MF36,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
17039,MF36,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
17040,MF36,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",265500.0
17041,MF36,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
17042,MF36,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
17043,MF36,2024-06-30,27,    (a) Receivables,0.0
17044,MF36,2024-06-30,28,    (b) Prepaid Expenses,0.0
17045,MF36,2024-06-30,29,    (c )Deffered Tax Assets,0.0
17046,MF36,2024-06-30,30,    (d )Intangible Assets,0.0
17047,MF36,2024-06-30,31,    (e) Miscellaneous Assets,0.0
17048,MF36,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
17049,MF36,2024-06-30,34,8. LIABILITIES,0.0
17050,MF36,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
17051,MF36,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
17052,MF36,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17053,MF36,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17054,MF36,2024-06-30,41,          (v) Other Borrowings,0.0
17055,MF36,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17056,MF36,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
17057,MF36,2024-06-30,45,           (iii) Other Borrowings,0.0
17058,MF36,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
17059,MF36,2024-06-30,47,11.TAX PAYABLES,0.0
17060,MF36,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
17061,MF36,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
17062,MF36,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
17063,MF36,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),21560609.0
17064,MF36,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,21422413.0
17065,MF36,2024-06-30,54,    (c) Capital Grants,0.0
17066,MF36,2024-06-30,55, (d) Donations,0.0
17067,MF36,2024-06-30,56,    (e) Share Premium,0.0
17068,MF36,2024-06-30,58,    (g) Retained Earnings,0.0
17069,MF36,2024-06-30,60,    (i) Other Reserves,0.0
17070,MF36,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),21560609.0
17071,M027,2024-06-30,2,    (a) Cash in Hand,31442550.0
17072,M027,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),80973000.0
17073,M027,2024-06-30,4,(i) Non-Agent Banking  Balances,80973000.0
17074,M027,2024-06-30,7,    (d) MNOs Float  Balances,0.0
17075,M027,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
17076,M027,2024-06-30,9,    (a )Treasury Bills,0.0
17077,M027,2024-06-30,10,    (b) Other Government Securities,0.0
17078,M027,2024-06-30,11,    (c) Private Securities,0.0
17079,M027,2024-06-30,12,    (d) Others,0.0
17080,M027,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
17081,M027,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
17082,M027,2024-06-30,15,    (a) Equity Investment,0.0
17083,M027,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
17084,M027,2024-06-30,18,     (a) Loans to Clients,269494200.0
17085,M027,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17086,M027,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
17087,M027,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,2539275.0
17088,M027,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",0.0
17089,M027,2024-06-30,24,"    (a) Property, Plant and Equipment",0.0
17090,M027,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
17091,M027,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
17092,M027,2024-06-30,27,    (a) Receivables,0.0
17093,M027,2024-06-30,28,    (b) Prepaid Expenses,0.0
17094,M027,2024-06-30,29,    (c )Deffered Tax Assets,0.0
17095,M027,2024-06-30,30,    (d )Intangible Assets,0.0
17096,M027,2024-06-30,31,    (e) Miscellaneous Assets,0.0
17097,M027,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
17098,M027,2024-06-30,33,7. TOTAL ASSETS ,386801375.0
17099,M027,2024-06-30,34,8. LIABILITIES,0.0
17100,M027,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
17101,M027,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17102,M027,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
17103,M027,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17104,M027,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
17105,M027,2024-06-30,41,          (v) Other Borrowings,0.0
17106,M027,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
17107,M027,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17108,M027,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
17109,M027,2024-06-30,45,           (iii) Other Borrowings,0.0
17110,M027,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
17111,M027,2024-06-30,47,11.TAX PAYABLES,0.0
17112,M027,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
17113,M027,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
17114,M027,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),386801375.0
17115,M027,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
17116,M027,2024-06-30,54,    (c) Capital Grants,0.0
17117,M027,2024-06-30,57,    (f) General Reserves,0.0
17118,M027,2024-06-30,58,    (g) Retained Earnings,197805971.0
17119,M027,2024-06-30,59,    (h) Profit/Loss,4022064.0
17120,M027,2024-06-30,60,    (i) Other Reserves,134973340.0
17121,M253,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),41920000.0
17122,M253,2024-06-30,2,    (a) Cash in Hand,920000.0
17123,M253,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),41000000.0
17124,M253,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
17125,M253,2024-06-30,5,(ii) Agent-Banking Balances,41000000.0
17126,M253,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
17127,M253,2024-06-30,7,    (d) MNOs Float  Balances,0.0
17128,M253,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
17129,M253,2024-06-30,9,    (a )Treasury Bills,0.0
17130,M253,2024-06-30,10,    (b) Other Government Securities,0.0
17131,M253,2024-06-30,11,    (c) Private Securities,0.0
17132,M253,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
17133,M253,2024-06-30,15,    (a) Equity Investment,0.0
17134,M253,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
17135,M253,2024-06-30,17,4. LOANS - NET (sum a:d less e),148505000.0
17136,M253,2024-06-30,18,     (a) Loans to Clients,125005000.0
17137,M253,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
17138,M253,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17139,M253,2024-06-30,21,     (d) Accrued Interest on Loans ,25000000.0
17140,M253,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,1500000.0
17141,M253,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",-5400000.0
17142,M253,2024-06-30,24,"    (a) Property, Plant and Equipment",0.0
17143,M253,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),1520000.0
17144,M253,2024-06-30,27,    (a) Receivables,0.0
17145,M253,2024-06-30,29,    (c )Deffered Tax Assets,0.0
17146,M253,2024-06-30,30,    (d )Intangible Assets,0.0
17147,M253,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
17148,M253,2024-06-30,33,7. TOTAL ASSETS ,186545000.0
17149,M253,2024-06-30,34,8. LIABILITIES,0.0
17150,M253,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
17151,M253,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17152,M253,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
17153,M253,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17154,M253,2024-06-30,41,          (v) Other Borrowings,0.0
17155,M253,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
17156,M253,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17157,M253,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
17158,M253,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
17159,M253,2024-06-30,47,11.TAX PAYABLES,0.0
17160,M253,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,0.0
17161,M253,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
17162,M253,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),186545000.0
17163,M253,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,155000000.0
17164,M253,2024-06-30,55, (d) Donations,0.0
17165,M253,2024-06-30,56,    (e) Share Premium,0.0
17166,M253,2024-06-30,57,    (f) General Reserves,0.0
17167,M253,2024-06-30,58,    (g) Retained Earnings,0.0
17168,M253,2024-06-30,60,    (i) Other Reserves,0.0
17169,M253,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),186545000.0
17170,M319,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),23255147.0
17171,M319,2024-06-30,2,    (a) Cash in Hand,0.0
17172,M319,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),23255147.0
17173,M319,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
17174,M319,2024-06-30,7,    (d) MNOs Float  Balances,0.0
17175,M319,2024-06-30,9,    (a )Treasury Bills,0.0
17176,M319,2024-06-30,11,    (c) Private Securities,0.0
17177,M319,2024-06-30,12,    (d) Others,0.0
17178,M319,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
17179,M319,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
17180,M319,2024-06-30,15,    (a) Equity Investment,0.0
17181,M319,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
17182,M319,2024-06-30,17,4. LOANS - NET (sum a:d less e),143562565.0
17183,M319,2024-06-30,18,     (a) Loans to Clients,143562565.0
17184,M319,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
17185,M319,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17186,M319,2024-06-30,21,     (d) Accrued Interest on Loans ,0.0
17187,M319,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
17188,M319,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
17189,M319,2024-06-30,30,    (d )Intangible Assets,0.0
17190,M319,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
17191,M319,2024-06-30,33,7. TOTAL ASSETS ,175627524.0
17192,M319,2024-06-30,34,8. LIABILITIES,0.0
17193,M319,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
17194,M319,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
17195,M319,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17196,M319,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
17197,M319,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17198,M319,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
17199,M319,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
17200,M319,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17201,M319,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
17202,M319,2024-06-30,45,           (iii) Other Borrowings,0.0
17203,M319,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
17204,M319,2024-06-30,47,11.TAX PAYABLES,0.0
17205,M319,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
17206,M319,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,1121000.0
17207,M319,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),1121000.0
17208,M319,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),174506524.0
17209,M319,2024-06-30,53,    (b) Paid-up Preference Shares,0.0
17210,M319,2024-06-30,54,    (c) Capital Grants,0.0
17211,M319,2024-06-30,55, (d) Donations,0.0
17212,M319,2024-06-30,57,    (f) General Reserves,0.0
17213,M319,2024-06-30,58,    (g) Retained Earnings,10456606.0
17214,M319,2024-06-30,60,    (i) Other Reserves,61367000.0
17215,M266,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),6812929.81
17216,M266,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),5440079.43
17217,M266,2024-06-30,4,(i) Non-Agent Banking  Balances,5440079.43
17218,M266,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
17219,M266,2024-06-30,7,    (d) MNOs Float  Balances,0.0
17220,M266,2024-06-30,10,    (b) Other Government Securities,0.0
17221,M266,2024-06-30,11,    (c) Private Securities,0.0
17222,M266,2024-06-30,12,    (d) Others,0.0
17223,M266,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
17224,M266,2024-06-30,15,    (a) Equity Investment,0.0
17225,M266,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
17226,M266,2024-06-30,18,     (a) Loans to Clients,156120388.64
17227,M266,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
17228,M266,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17229,M266,2024-06-30,21,     (d) Accrued Interest on Loans ,-12557706.84
17230,M266,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,25245520.29
17231,M266,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",4077827.68
17232,M266,2024-06-30,24,"    (a) Property, Plant and Equipment",11385669.06
17233,M266,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),7307841.38
17234,M266,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),3783544.13
17235,M266,2024-06-30,27,    (a) Receivables,1379950.0
17236,M266,2024-06-30,28,    (b) Prepaid Expenses,2403594.13
17237,M266,2024-06-30,29,    (c )Deffered Tax Assets,0.0
17238,M266,2024-06-30,30,    (d )Intangible Assets,0.0
17239,M266,2024-06-30,31,    (e) Miscellaneous Assets,0.0
17240,M266,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
17241,M266,2024-06-30,33,7. TOTAL ASSETS ,132991463.13
17242,M266,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
17243,M266,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
17244,M266,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
17245,M266,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
17246,M266,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17247,M266,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
17248,M266,2024-06-30,41,          (v) Other Borrowings,0.0
17249,M266,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
17250,M266,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
17251,M266,2024-06-30,45,           (iii) Other Borrowings,0.0
17252,M266,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,4968471.88
17253,M266,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
17254,M266,2024-06-30,49,13. OTHER PAYABLES AND ACCRUALS,39366350.47
17255,M266,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),43457572.66
17256,M266,2024-06-30,51,15. TOTAL CAPITAL (sum a:i),89533890.49
17257,M266,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,496238448.79
17258,M266,2024-06-30,54,    (c) Capital Grants,0.0
17259,M266,2024-06-30,55, (d) Donations,0.0
17260,M266,2024-06-30,56,    (e) Share Premium,0.0
17261,M266,2024-06-30,57,    (f) General Reserves,0.0
17262,M266,2024-06-30,59,    (h) Profit/Loss,-46715250.43
17263,M266,2024-06-30,60,    (i) Other Reserves,0.0
17264,M266,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),132991463.15
17265,MB51,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),4000000.0
17266,MB51,2024-06-30,2,    (a) Cash in Hand,4000000.0
17267,MB51,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),0.0
17268,MB51,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
17269,MB51,2024-06-30,5,(ii) Agent-Banking Balances,0.0
17270,MB51,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
17271,MB51,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
17272,MB51,2024-06-30,9,    (a )Treasury Bills,0.0
17273,MB51,2024-06-30,10,    (b) Other Government Securities,0.0
17274,MB51,2024-06-30,11,    (c) Private Securities,0.0
17275,MB51,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
17276,MB51,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
17277,MB51,2024-06-30,15,    (a) Equity Investment,0.0
17278,MB51,2024-06-30,17,4. LOANS - NET (sum a:d less e),26300000.0
17279,MB51,2024-06-30,18,     (a) Loans to Clients,20000000.0
17280,MB51,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
17281,MB51,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
17282,MB51,2024-06-30,21,     (d) Accrued Interest on Loans ,6300000.0
17283,MB51,2024-06-30,22,     (e) Allowances for Probable Losses (Deduction) ,0.0
17284,MB51,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",4375000.0
17285,MB51,2024-06-30,24,"    (a) Property, Plant and Equipment",5000000.0
17286,MB51,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),625000.0
17287,MB51,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),0.0
17288,MB51,2024-06-30,27,    (a) Receivables,0.0
